symbol,type,entry_time,exit_time,entry_price,exit_price,units,pips,profit
AUDUSD,LONG,2025-01-16 04:00:00,2025-01-16 04:00:00,0.62354,0.62155,1.6,-19.899999999999363,-318.3999999999898
AUDUSD,LONG,2025-01-17 00:00:00,2025-01-17 00:00:00,0.62068,0.62104,1.6,3.6000000000002697,57.600000000004314
AUDUSD,SHORT,2025-01-17 16:00:00,2025-01-17 16:00:00,0.61987,0.62061,1.6,-7.399999999999629,-118.39999999999407
AUDUSD,LONG,2025-01-21 00:00:00,2025-01-21 00:00:00,0.62046,0.62667,1.6,62.099999999999376,993.59999999999
AUDUSD,LONG,2025-01-22 00:00:00,2025-01-22 00:00:00,0.62245,0.627,1.6,45.50000000000054,728.0000000000086
AUDUSD,LONG,2025-01-22 16:00:00,2025-01-22 16:00:00,0.62586,0.62749,1.6,16.300000000000203,260.80000000000325
AUDUSD,LONG,2025-01-24 12:00:00,2025-01-24 12:00:00,0.63182,0.63198,1.6,1.5999999999993797,25.599999999990075
AUDUSD,SHORT,2025-01-24 20:00:00,2025-01-24 20:00:00,0.63213,0.63139,1.6,7.399999999999629,118.39999999999407
AUDUSD,LONG,2025-01-27 16:00:00,2025-01-27 16:00:00,0.6294,0.62862,1.6,-7.800000000000029,-124.80000000000047
AUDUSD,SHORT,2025-01-28 20:00:00,2025-01-28 20:00:00,0.62917,0.62482,1.6,43.499999999999645,695.9999999999944
AUDUSD,SHORT,2025-01-29 16:00:00,2025-01-29 16:00:00,0.62449,0.62202,1.6,24.699999999999722,395.19999999999555
AUDUSD,LONG,2025-01-30 04:00:00,2025-01-30 04:00:00,0.62317,0.62349,1.6,3.1999999999998696,51.199999999997914
AUDUSD,SHORT,2025-01-30 12:00:00,2025-01-30 12:00:00,0.6227,0.6226,1.6,0.9999999999998899,15.999999999998238
AUDUSD,LONG,2025-01-31 12:00:00,2025-01-31 12:00:00,0.62236,0.62156,1.6,-8.00000000000023,-128.00000000000367
AUDUSD,LONG,2025-02-04 04:00:00,2025-02-04 04:00:00,0.61948,0.62117,1.6,16.899999999999693,270.3999999999951
AUDUSD,LONG,2025-02-06 00:00:00,2025-02-06 00:00:00,0.62804,0.6281,1.6,0.5999999999994898,9.599999999991837
AUDUSD,LONG,2025-02-07 04:00:00,2025-02-07 04:00:00,0.62796,0.6292,1.6,12.400000000000189,198.40000000000302
AUDUSD,SHORT,2025-02-07 08:00:00,2025-02-07 08:00:00,0.62872,0.62834,1.6,3.7999999999993594,60.79999999998975
AUDUSD,LONG,2025-02-10 16:00:00,2025-02-10 16:00:00,0.62824,0.6281,1.6,-1.40000000000029,-22.40000000000464
AUDUSD,LONG,2025-02-12 04:00:00,2025-02-12 04:00:00,0.62739,0.63052,1.6,31.29999999999966,500.7999999999946
AUDUSD,SHORT,2025-02-12 16:00:00,2025-02-12 16:00:00,0.62994,0.62573,1.6,42.10000000000047,673.6000000000075
AUDUSD,LONG,2025-02-13 08:00:00,2025-02-13 08:00:00,0.62896,0.62876,1.6,-1.9999999999997797,-31.999999999996476
AUDUSD,LONG,2025-02-14 20:00:00,2025-02-14 20:00:00,0.63214,0.63568,1.6,35.39999999999988,566.399999999998
AUDUSD,SHORT,2025-02-18 08:00:00,2025-02-18 08:00:00,0.63624,0.63572,1.6,5.20000000000076,83.20000000001215
AUDUSD,SHORT,2025-02-18 20:00:00,2025-02-18 20:00:00,0.63554,0.63474,1.6,8.00000000000023,128.00000000000367
AUDUSD,LONG,2025-02-19 12:00:00,2025-02-19 12:00:00,0.63507,0.63526,1.6,1.9000000000002348,30.400000000003757
AUDUSD,LONG,2025-02-21 00:00:00,2025-02-21 00:00:00,0.6353,0.63981,1.6,45.100000000000136,721.6000000000022
AUDUSD,LONG,2025-02-25 20:00:00,2025-02-25 20:00:00,0.63347,0.63408,1.6,6.099999999999994,97.59999999999991
AUDUSD,SHORT,2025-02-28 20:00:00,2025-02-28 20:00:00,0.6316,0.61954,1.6,120.6000000000007,1929.6000000000115
AUDUSD,LONG,2025-03-03 08:00:00,2025-03-03 08:00:00,0.62196,0.62156,1.6,-3.9999999999995595,-63.99999999999295
AUDUSD,SHORT,2025-03-04 08:00:00,2025-03-04 08:00:00,0.6236,0.62106,1.6,25.400000000000976,406.40000000001567
AUDUSD,LONG,2025-03-06 08:00:00,2025-03-06 08:00:00,0.62946,0.63406,1.6,45.999999999999375,735.99999999999
AUDUSD,SHORT,2025-03-07 20:00:00,2025-03-07 20:00:00,0.63136,0.63,1.6,13.600000000000279,217.60000000000446
AUDUSD,LONG,2025-03-10 16:00:00,2025-03-10 16:00:00,0.63066,0.63172,1.6,10.599999999999499,169.59999999999198
AUDUSD,LONG,2025-03-11 16:00:00,2025-03-11 16:00:00,0.62852,0.62937,1.6,8.500000000000174,136.00000000000279
AUDUSD,LONG,2025-03-12 04:00:00,2025-03-12 04:00:00,0.62992,0.62918,1.6,-7.400000000000739,-118.40000000001183
AUDUSD,LONG,2025-03-12 12:00:00,2025-03-12 12:00:00,0.62879,0.62886,1.6,0.700000000000145,11.20000000000232
AUDUSD,LONG,2025-03-13 04:00:00,2025-03-13 04:00:00,0.62888,0.63226,1.6,33.800000000000495,540.8000000000079
AUDUSD,LONG,2025-03-14 00:00:00,2025-03-14 00:00:00,0.62864,0.62822,1.6,-4.1999999999997595,-67.19999999999615
