rsi_period,rsi_overbought,rsi_oversold,atr_tp,atr_sl,total_profit,win_rate,max_drawdown
5,70,20,2,1.5,-0.018149999999999444,0.42424242424242425,-0.12617999999201857
5,70,20,2,2.0,-0.018149999999999444,0.42424242424242425,-0.12617999999201857
5,70,20,2,2.5,-0.018149999999999444,0.42424242424242425,-0.12617999999201857
5,70,20,3,1.5,-0.018149999999999444,0.42424242424242425,-0.12617999999201857
5,70,20,3,2.0,-0.018149999999999444,0.42424242424242425,-0.12617999999201857
5,70,20,3,2.5,-0.018149999999999444,0.42424242424242425,-0.12617999999201857
5,70,20,4,1.5,-0.018149999999999444,0.42424242424242425,-0.12617999999201857
5,70,20,4,2.0,-0.018149999999999444,0.42424242424242425,-0.12617999999201857
5,70,20,4,2.5,-0.018149999999999444,0.42424242424242425,-0.12617999999201857
5,70,25,2,1.5,0.08040000000000003,0.4444444444444444,-0.1419000000023516
5,70,25,2,2.0,0.08040000000000003,0.4444444444444444,-0.1419000000023516
5,70,25,2,2.5,0.08040000000000003,0.4444444444444444,-0.1419000000023516
5,70,25,3,1.5,0.08040000000000003,0.4444444444444444,-0.1419000000023516
5,70,25,3,2.0,0.08040000000000003,0.4444444444444444,-0.1419000000023516
5,70,25,3,2.5,0.08040000000000003,0.4444444444444444,-0.1419000000023516
5,70,25,4,1.5,0.08040000000000003,0.4444444444444444,-0.1419000000023516
5,70,25,4,2.0,0.08040000000000003,0.4444444444444444,-0.1419000000023516
5,70,25,4,2.5,0.08040000000000003,0.4444444444444444,-0.1419000000023516
5,70,30,2,1.5,0.08508000000000004,0.4642857142857143,-0.141459999998915
5,70,30,2,2.0,0.08508000000000004,0.4642857142857143,-0.141459999998915
5,70,30,2,2.5,0.08508000000000004,0.4642857142857143,-0.141459999998915
5,70,30,3,1.5,0.08508000000000004,0.4642857142857143,-0.141459999998915
5,70,30,3,2.0,0.08508000000000004,0.4642857142857143,-0.141459999998915
5,70,30,3,2.5,0.08508000000000004,0.4642857142857143,-0.141459999998915
5,70,30,4,1.5,0.08508000000000004,0.4642857142857143,-0.141459999998915
5,70,30,4,2.0,0.08508000000000004,0.4642857142857143,-0.141459999998915
5,70,30,4,2.5,0.08508000000000004,0.4642857142857143,-0.141459999998915
5,75,20,2,1.5,-0.020579999999999377,0.36,-0.0703499999945052
5,75,20,2,2.0,-0.020579999999999377,0.36,-0.0703499999945052
5,75,20,2,2.5,-0.020579999999999377,0.36,-0.0703499999945052
5,75,20,3,1.5,-0.020579999999999377,0.36,-0.0703499999945052
5,75,20,3,2.0,-0.020579999999999377,0.36,-0.0703499999945052
5,75,20,3,2.5,-0.020579999999999377,0.36,-0.0703499999945052
5,75,20,4,1.5,-0.020579999999999377,0.36,-0.0703499999945052
5,75,20,4,2.0,-0.020579999999999377,0.36,-0.0703499999945052
5,75,20,4,2.5,-0.020579999999999377,0.36,-0.0703499999945052
5,75,25,2,1.5,0.03628000000000009,0.48,-0.13997000000381377
5,75,25,2,2.0,0.03628000000000009,0.48,-0.13997000000381377
5,75,25,2,2.5,0.03628000000000009,0.48,-0.13997000000381377
5,75,25,3,1.5,0.03628000000000009,0.48,-0.13997000000381377
