timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-01-01,2339.99,2445.0,2296.87,2384.09,67172.706,1704153599999,158600383.93873,13158,39696.707,94013499.96844,0
2024-01-02,2374.99,2445.0,2347.01,2387.74,177156.698,1704239999999,423909414.71063,10216,96795.033,232073042.56065,0
2024-01-03,2387.74,2445.0,2106.85,2216.0,212813.607,1704326399999,482542357.69511,16364,88020.250,201197274.31701,0
2024-01-04,2216.0,2308.58,2210.31,2272.85,62210.252,1704412799999,139855412.23231,11983,30786.178,69361181.93625,0
2024-01-05,2272.85,2285.66,2215.8,2259.01,33692.152,1704499199999,75717536.15755,9620,15654.010,35303855.48530,0
2024-01-06,2260.01,2291.37,2219.24,2263.46,45030.259,1704585599999,101461679.93858,8124,22622.857,51083085.08483,0
2024-01-07,2263.46,2329.99,2255.0,2255.02,71916.754,1704671999999,164475244.31048,9825,35012.047,80453244.67522,0
2024-01-08,2261.51,2411.7,2215.8,2405.91,63167.519,1704758399999,144519252.03399,7569,34495.540,79455198.80835,0
2024-01-09,2405.91,2445.0,2260.43,2362.75,117622.603,1704844799999,276342786.66780,8611,79595.690,187964073.16214,0
2024-01-10,2445.0,2618.75,2362.75,2526.41,96778.86,1704931199999,238390006.04078,11457,56087.526,139342006.37318,0
2024-01-11,2615.0,2785.0,2526.41,2700.0,84702.762,1705017599999,227475738.93544,10150,41818.335,112399252.18071,0
2024-01-12,2700.0,2780.0,2350.0,2547.37,172912.207,1705103999999,455190083.53602,12910,69590.147,184222255.26919,0
2024-01-13,2520.43,2611.67,2501.08,2583.09,58624.889,1705190399999,149914788.21594,7346,34450.254,88294151.41901,0
2024-01-14,2583.09,2599.97,2502.58,2515.9,39777.994,1705276799999,101493039.51130,7310,19749.206,50632158.57143,0
2024-01-15,2515.9,2577.2,2509.04,2524.17,42122.136,1705363199999,107099939.68543,7899,16670.643,42631088.23071,0
2024-01-16,2524.17,2610.0,2515.0,2586.14,50850.844,1705449599999,130015912.55224,10013,28742.586,73637139.73266,0
2024-01-17,2587.91,2592.74,2507.86,2530.15,56771.067,1705535999999,144509540.42130,9452,25101.705,64013159.25257,0
2024-01-18,2530.8,2560.47,2417.49,2470.29,67583.972,1705622399999,169367178.56908,11408,27073.025,68185876.58864,0
2024-01-19,2468.73,2514.19,2420.0,2492.85,45951.886,1705708799999,113752707.91502,7203,20932.563,52033900.35210,0
2024-01-20,2492.85,2707.28,2470.5,2515.0,75321.863,1705795199999,189123351.73980,17604,36477.838,92122728.64128,0
2024-01-21,2520.0,2542.52,2489.0,2492.01,28158.494,1705881599999,70871926.87367,5833,15339.878,38841441.31645,0
2024-01-22,2539.0,2539.0,2325.0,2365.01,76886.851,1705967999999,184924990.16763,9132,22646.366,54634918.06666,0
2024-01-23,2407.96,2407.96,2265.86,2352.62,180226.434,1706054399999,416903018.61165,9333,34311.030,79876423.12333,0
2024-01-24,2352.62,2352.63,2300.0,2300.55,29537.866,1706140799999,68354911.55320,5921,10386.677,24215678.76989,0
2024-01-25,2326.89,2326.92,2250.0,2285.0,85279.077,1706227199999,195618568.81303,5916,36533.090,84497842.67653,0
2024-01-26,2285.0,2321.0,2246.01,2287.05,41295.909,1706313599999,94610856.66777,5996,17241.369,39969380.25241,0
2024-01-27,2319.0,2319.0,2286.03,2307.03,19107.124,1706399999999,44051115.80350,5290,10674.932,24727695.56026,0
2024-01-28,2307.03,2319.98,2286.04,2319.98,32210.965,1706486399999,74315669.50482,4820,20378.722,47187275.57841,0
2024-01-29,2319.98,2352.16,2287.02,2320.6,44842.521,1706572799999,103556887.40349,5043,24037.754,55819981.34067,0
2024-01-30,2352.16,2400.0,2318.11,2365.02,24433.033,1706659199999,57777054.11504,5642,11968.390,28535341.78691,0
2024-01-31,2365.02,2395.0,2305.48,2305.48,43978.785,1706745599999,103052215.18438,5209,19520.895,45874012.60358,0
2024-02-01,2328.04,2328.04,2250.0,2298.72,33646.702,1706831999999,77253159.91114,6586,11667.290,26915598.12485,0
2024-02-02,2328.04,2328.04,2298.72,2304.23,18603.267,1706918399999,43067694.73234,7104,9840.253,22862375.03250,0
2024-02-03,2325.52,2349.5,2298.72,2328.44,30860.514,1707004799999,71861833.76732,4651,17336.977,40499643.42327,0
2024-02-04,2343.26,2345.48,2266.43,2302.58,29890.28,1707091199999,69138054.34622,5971,11494.085,26770682.76770,0
2024-02-05,2313.46,2340.0,2256.82,2302.0,29618.017,1707177599999,68413038.70600,6428,11921.899,27583356.73084,0
2024-02-06,2302.0,2394.0,2300.06,2369.64,53866.805,1707263999999,126383408.85987,6974,25829.196,60788561.90068,0
2024-02-07,2385.99,2438.85,2341.51,2410.0,43637.766,1707350399999,104120947.69298,4894,24756.091,59212865.17683,0
2024-02-08,2434.99,2455.0,2410.0,2415.0,47414.245,1707436799999,114872845.51046,3740,28420.340,69002909.46257,0
2024-02-09,2431.39,2540.0,2415.0,2464.31,35033.685,1707523199999,87057195.40741,4363,24266.893,60521574.10003,0
2024-02-10,2464.32,2520.0,2464.3,2485.06,17492.068,1707609599999,43622950.51877,3479,10008.654,25050573.49201,0
2024-02-11,2485.06,2564.86,2484.06,2493.2,21672.635,1707695999999,54656787.19358,4034,12127.859,30771678.65701,0
2024-02-12,2510.09,2729.19,2475.5,2637.98,20575.418,1707782399999,52493033.95381,9284,8957.322,23424903.51509,0
2024-02-13,2637.98,2930.5,2472.97,2620.88,71110.498,1707868799999,185855709.54624,33782,34655.524,92819428.67881,0
2024-02-14,2638.09,2960.0,2600.0,2776.86,40808.444,1707955199999,111509040.87503,34682,26387.078,72553821.68555,0
2024-02-15,2780.98,2887.34,2758.47,2828.23,90153.192,1708041599999,254165789.08813,27247,50725.078,143363815.07335,0
2024-02-16,2818.59,2866.41,2775.0,2826.67,36445.726,1708127999999,102877714.58070,23938,21029.208,59431240.22103,0
2024-02-17,2809.72,2851.3,2729.94,2837.5,38191.52,1708214399999,106573427.77896,8055,16294.510,45731436.91171,0
2024-02-18,2837.5,2976.2,2780.02,2926.15,37685.149,1708300799999,107014867.38078,9655,24646.864,70145958.54436,0
2024-02-19,2910.92,3000.0,2882.48,2946.33,65315.007,1708387199999,191244456.44247,24363,33385.564,98148575.17542,0
